序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-去年同期,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-去年同期,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,所处行业,公告日期
368,688111,金山办公,3.98,5928744673.06,5120838798.82,15.776826921913,15.059582432409,1842976801.74,1645080509.02,12.029581022627,54.1021371939,27.78,15.25,软件开发,2026-02-28
375,688097,博众精工,1.322,6570625200.0,4954201500.0,32.627330559728,64.222002289647,591339900.0,398393500.0,48.431111451367,52.5435852731,11.07,12.66,自动化设备,2026-02-28
379,688090,瑞松科技,0.1,944895600.0,886782300.0,6.553276942943,66.484492054945,11911600.0,11248700.0,5.893125427827,472.440818245,7.37,1.31,自动化设备,2026-02-28
380,688089,嘉必优,0.94,574884218.93,555593402.27,3.472110464448,21.073172860069,156699020.1,124212718.7,26.153764075047,27.8565560999,9.79,9.51,化学制品,2026-02-28
384,688080,映翰通,2.04,777212200.0,611736200.0,27.050221974766,14.896878788157,150294700.0,129887500.0,15.711442594553,35.7048807556,15.89,13.73,通信设备,2026-02-28
392,688070,纵横股份,0.13,621071400.0,474202600.0,30.971740770717,59.137229802666,11643700.0,-35791700.0,132.531843975,90.3653194712,7.26,1.94,航空装备Ⅱ,2026-02-28
396,688063,派能科技,0.35,3158137900.0,2004793000.0,57.529375850774,32.70968548818,84120700.0,41107300.0,104.636889311631,6.863522872,37.46,0.92,电池,2026-02-28
406,688047,龙芯中科,-1.13,635320600.0,504257200.0,25.99137900262,165.558730216297,-453654500.0,-625347100.0,27.455568275603,39.763241953,6.25,-16.67,半导体,2026-02-28
407,688045,必易微,0.17,683486100.0,688291000.0,-0.698091359614,24.087386186485,12075400.0,-17170900.0,170.324793691653,146.9186446614,19.92,0.88,半导体,2026-02-28
409,688038,中科通达,-0.03,262638000.0,342572000.0,-23.333489018367,507.101924762083,-3980200.0,-18102900.0,78.013467455491,148.0370152995,5.11,-0.67,软件开发,2026-02-28
411,688035,德邦科技,0.75,1547230900.0,1166752100.0,32.610080581813,14.376156009973,105255700.0,97429100.0,8.033123573963,46.8736870906,16.52,4.56,电子化学品Ⅱ,2026-02-28
417,688027,国盾量子,0.05,310457069.28,253368922.89,22.531629269618,76.599296175219,5391908.65,-31841414.28,116.933634299613,1289.0611672146,31.55,0.17,通信设备,2026-02-28
420,688023,安恒信息,-0.57,2152918524.19,2042835394.88,5.388742019347,101.075687271767,-58307472.09,-197849927.16,70.529444752918,1325.3047127172,23.3,-2.37,软件开发,2026-02-28
422,688021,奥福科技,0.18,348713200.0,284216500.0,22.692806364163,3.3497676644,14032600.0,-43967600.0,131.915774342925,500.7327459504,11.41,1.62,汽车零部件,2026-02-28
425,688018,乐鑫科技,3.152,2565275400.0,2006919700.0,27.821526690879,-2.051554016792,497840100.0,339323900.0,46.715306525712,4.8284161824,26.81,17.33,半导体,2026-02-28
426,688016,心脉医疗,4.65,1350632689.26,1206326728.85,11.962427504824,11.820327975127,563213122.1,502100205.69,12.171458150673,17.2614120661,33.63,14.3,医疗器械,2026-02-28
428,688012,中微公司,3.4,12384638300.0,9065165100.0,36.617901200718,39.333448099893,2111473000.0,1615675700.0,30.686684215155,78.1760544028,36.24,9.98,半导体,2026-02-28
430,688010,福光股份,0.08,675319400.0,621389800.0,8.678867918334,10.363100933037,12694200.0,9489300.0,33.773829471089,427.547606059,10.91,0.75,光学光电子,2026-02-28
431,688009,中国通号,0.34,34676948800.0,32643648700.0,6.22877705457,80.473253200132,3661042400.0,3494725800.0,4.759074374304,107.4935808583,4.7,7.48,轨交设备Ⅱ,2026-02-28
432,688008,澜起科技,1.97,5456316800.0,3638911100.0,49.943668588111,-1.797719779157,2235570000.0,1411778900.0,58.35128290981,27.4870388664,11.27,18.25,半导体,2026-02-28
437,688002,睿创微纳,2.45,6322021400.0,4315695800.0,46.489041234093,44.992271097418,1100334600.0,568960600.0,93.393813209561,10.6193504077,14.41,18.31,军工电子Ⅱ,2026-02-28
439,605050,福然德,0.76,11786169900.0,11278496800.0,4.501247896794,17.934873635013,373124800.0,316707800.0,17.813580846446,44.062861016,9.08,8.57,物流,2026-02-28
441,603112,华翔股份,1.11,4128630087.76,3827518675.82,7.86701352608,13.886292341727,561745668.56,470558096.1,19.378600265465,35.2062950998,8.08,12.54,家电零部件Ⅱ,2026-02-28
444,300453,三鑫医疗,0.5076,1640093700.0,1500438400.0,9.307633022455,16.149986841266,262489300.0,227404100.0,15.428569669588,10.9490766227,2.79,18.75,医疗器械,2026-02-28
446,300308,中际旭创,9.8,38239982100.0,23862159700.0,60.253650888105,29.556932431076,10798634500.0,5171486000.0,108.81105546839,16.8924423234,27.0,43.63,通信设备,2026-02-28
454,002140,东华科技,0.7528,10024616921.37,8862222844.58,13.116281289416,60.535023943691,532860214.85,410250060.43,29.886687717118,34.4679532185,6.7,11.63,专业工程,2026-02-28
455,002130,沃尔核材,0.91,8450670467.93,6926531873.4,22.004354017097,10.838273508659,1135293154.5,847550824.17,33.949861427105,18.8380643298,5.15,18.88,其他电子Ⅱ,2026-02-28
457,002078,太阳纸业,1.1658,39184218359.14,40726522046.23,-3.78697617572,4.334011744529,3257857931.51,3101256409.22,5.049615434068,5.3748984319,10.92,10.95,造纸,2026-02-28
458,002063,远光软件,0.1579,2593222000.0,2398393300.0,8.123300711355,98.845543967955,301103300.0,292915300.0,2.795347323953,269.5764148884,2.0679,7.91,软件开发,2026-02-28
463,688809,强一股份,4.1,1012104500.0,641360400.0,57.805891975869,33.866858801395,397976100.0,233097000.0,70.734114982175,32.4414450125,31.44,30.11,半导体,2026-02-27
475,688718,唯赛勃,0.27,419989300.0,375236000.0,11.926707458773,45.47883818782,46106600.0,38588100.0,19.483985995683,60.0359391144,4.62,5.8,塑料,2026-02-27
478,688692,达梦数据,4.56,1305849900.0,1044431300.0,25.029755427667,54.84249521959,516871600.0,361870000.0,42.833503744439,49.6484042408,32.67,14.85,软件开发,2026-02-27
481,688689,银河微电,0.63,1049562500.0,909049600.0,15.457121371595,13.636119354966,80385900.0,71874200.0,11.842497029532,78.7733913802,10.71,5.96,半导体,2026-02-27
495,688580,伟思医疗,1.43,462725700.0,400058900.0,15.664393418069,19.220586714116,136632000.0,101969200.0,33.99340192921,5.0562569731,17.66,8.23,医疗器械,2026-02-27
496,688578,艾力斯,4.85,5171705600.0,3557930200.0,45.357140508265,5.843853369641,2181292900.0,1429847100.0,52.554276607618,0.1727075061,15.72,35.89,化学制药,2026-02-27
500,688562,航天软件,-0.03,1216353900.0,1162917100.0,4.595065288833,786.084533825662,-11312600.0,-82134200.0,86.22668754307,323.7871057733,4.31,-0.65,IT服务Ⅱ,2026-02-27
501,688556,高测股份,-0.05,3649841529.46,4474236759.85,-18.425382353205,24.457410877143,-40164769.24,-44227926.57,9.186859174981,499.5323058062,4.75,-1.07,光伏设备,2026-02-27
513,688469,芯联集成,-0.08,8181865200.0,6509090800.0,25.699048475403,43.241277236813,-574267800.0,-962159600.0,40.314704545899,62.0029320534,1.56,-4.77,半导体,2026-02-27
521,688373,盟科药业,-0.37,141772700.0,130272800.0,8.827552643376,2.085304754172,-241612400.0,-440721200.0,45.177949234119,12.3682050895,0.31,-75.34,化学制药,2026-02-27
523,688357,建龙微纳,0.98,840848900.0,778749700.0,7.974218160212,18.13243353037,98523800.0,74756200.0,31.793483349876,7.234642545,18.67,5.38,化学制品,2026-02-27
524,688355,明志科技,0.65,530452200.0,631484200.0,-15.999133470006,36.452863848138,79748200.0,66340000.0,20.211335544166,6430.8258470965,8.89,7.3,通用设备,2026-02-27
527,688326,经纬恒润,0.88,6848097100.0,5541122200.0,23.586826870557,53.288365223899,99537500.0,-550318200.0,118.087262968951,1364.8215207649,36.84,2.43,软件开发,2026-02-27
529,688318,财富趋势,1.23,368582241.78,388984497.08,-5.245004737503,160.588901498975,314947149.35,303941251.5,3.621060910845,69.375962421,14.99,8.47,软件开发,2026-02-27
531,688310,迈得医疗,0.4,447419000.0,274850800.0,62.786137060543,166.340703318645,65259900.0,-19981200.0,426.606510119512,1921.1791608395,5.19,7.86,自动化设备,2026-02-27
532,688307,中润光学,0.72,658304700.0,454664600.0,44.789081885856,-3.683541827784,63459100.0,53429800.0,18.770985480013,25.1044613391,10.17,7.19,计算机设备,2026-02-27
535,688297,中无人机,0.13,3015851400.0,685242300.0,340.114598879841,32.396034551307,88574900.0,-53916100.0,264.282839448699,2548.7025850046,8.48,1.55,航空装备Ⅱ,2026-02-27
537,688283,坤恒顺维,0.38,242668673.98,226565453.5,7.107535694977,55.301940339566,46767594.64,37033845.65,26.283387045439,53.8191807234,8.09,4.77,通信设备,2026-02-27
541,688269,凯立新材,0.84,2033750900.0,1686559600.0,20.58577117583,42.520134834594,110286800.0,92616500.0,19.078997802767,24.2239291541,8.08,10.76,化学制品,2026-02-27
546,688248,南网科技,0.75,3688439400.0,3013539800.0,22.395576126123,129.160788173228,421354200.0,365046400.0,15.424833664981,20.0473175787,5.77,13.33,电网设备,2026-02-27
552,688201,信安世纪,0.25,541979200.0,500562900.0,8.273945192502,86.465302216026,79290400.0,-47817600.0,265.818443418323,1414.5880042149,4.34,5.99,软件开发,2026-02-27
554,688179,阿拉丁,0.31,686463305.56,533555511.04,28.658272917462,43.689344484495,103449733.93,98761868.7,4.74663480117,55.9539504477,2.93,10.33,化学制品,2026-02-27
560,688118,普元信息,0.081,339342000.0,419833500.0,-19.172243282158,209.864659002685,7467400.0,6546600.0,14.065316347417,457.861981048,9.35,0.87,软件开发,2026-02-27
564,688095,福昕软件,0.306,1075262600.0,711135400.0,51.20363857572,57.269714950296,27521000.0,26958300.0,2.087297789549,315.5424980718,28.71,1.12,软件开发,2026-02-27
572,688031,星环科技,-2.03,447530300.0,371492000.0,20.468354634824,206.522721999851,-245170200.0,-343462800.0,28.618121089096,54.5485049538,7.12,-24.87,软件开发,2026-02-27
575,300693,盛弘股份,1.523,3463266300.0,3036170700.0,14.066916593326,46.035765169298,474372300.0,428975200.0,10.582686365086,66.8019597311,6.94,24.07,其他电源设备Ⅱ,2026-02-27
579,300627,华测导航,1.239,3681317600.0,3251013400.0,13.236002041702,35.435383627586,680816400.0,583403200.0,16.697405842135,13.2859275091,5.355,17.9,通信设备,2026-02-27
587,688805,健信超导,0.6,579434100.0,425497500.0,36.178026897925,31.81990011601,75114000.0,55783900.0,34.651754359233,75.0575703508,7.29,15.07,医疗器械,2026-02-26
